Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Leerwaben (gegeben/genommen),Mittelwände (gegeben/genommen),Brutwaben (gegeben/genommen),Futterwaben (gegeben/genommen),Baurahmen (gegeben/genommen),Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
05.04.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Windel gereinigt
Futterwabe entnommen
Futterwaben nach außen und Leerewaben zur Mitte geschoben.",Stifte; Larven; Verdeckelte Brut; Weiselzellen,3,3,8,1,1,,-1,,,,,,,,,,,2.0,,2.0,,2.0,Nein,,,,,,16.6,einseitig
14.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Drohnenrahmen in unterer Brutzarge eingesetzt
Honigraum angenommen
Viel Gemüll
Kirsche, Birne, Zwetschge blühen - Raps beginnt zu blühen
Mittags wurde Raps gespritzt",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
14.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"
Drohnenrahmen in unterer Brutzarge eingesetzt
Honigraum ungenutzt
Viel Gemüll
Kirsche, Birne, Zwetschge blühen - Raps beginnt zu blühen
Mittags wurde Raps gespritzt",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
14.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Drohnenrahmen in unterer Brutzarge eingesetzt
Honigraum ungenutzt
Viel Gemüll
Kirsche, Birne, Zwetschge blühen - Raps beginnt zu blühen
Mittags wurde Raps gespritzt",Stifte; Larven; Verdeckelte Brut,,,,,,,-1,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
14.04.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Eine Futterwabe für Drohnenrahmen entnommen
Nur auslaufende Brut
Bis auf eine Weiselzelle alle zerstört
",Verdeckelte Brut; Weiselzellen,,2,6,,,,-1,1,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
19.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Drohnenrahmen von unterem Brutraum in oberen Brutraum gesetzt
Honigraum nicht angenommen
Apfelbaum im Garten beginnt zu blühen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
19.04.25 12:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","nicht reingeschaut
Apfelbaum im Garten beginnt zu blühen",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
19.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Drohnenrahmen von unterer Brutzarge in obere gesetzt
Honigraum wenig angenommen
Apfelbaum im Garten beginnt zu blühen",Stifte; Larven; Verdeckelte Brut; Königin,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
19.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Drohnenrahmen von unterem Brutraum in oberen gesetzt
Honigraum nicht angenommen
Apfelbaum beginnt zu blühen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
27.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Brutwabe für Volk 1 entnommen
luftdurchlässige Folie über Honigraum eingesetzt, da sehr viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,-1,,,,,,,,Drohnenbrutschneiden,,,,,,,,3.0,Nein,,,,,,,
27.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Viel Honig in beiden Brutzargen
Honigraum leicht angenommen
luftdurchlässige Folie über Honigraum, da viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,3.0,Nein,,,,,,,
27.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"2. Halbzarge aufgesetzt
luftdurchlässige Folie über Honigraum, da sehr viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,2.0,Nein,,,,,,,
27.04.25 21:30,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Keine frische Brut
Brutwabe aus Volk 4 als Weiselprobe gegeben
Drohnenrahmen leer
Honigraum nicht angenommen - entfernt 
Absperrgitter zwischen oberer und unterer Vollzarge eingesetzt
Sehr viel Feuchtigkeit im Stock - luftdurchlässige Abdeckung eingesetzt",,,,5,,,1,,,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
